PROCEDURE_CAT;PROCEDURE_SCHEM;PROCEDURE_NAME;COLUMN_NAME;COLUMN_TYPE;DATA_TYPE;TYPE_NAME;PRECISION;LENGTH;SCALE;RADIX;NULLABLE;REMARKS
FLC_RU;alexs;usp_class_function_20;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_20;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_21;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_21;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_21;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_22;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_22;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_22;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_23;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_23;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_23;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_24;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_24;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_24;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_25;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_25;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_25;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_26;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_26;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_26;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_27;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_27;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_27;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_28;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_28;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_28;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_29;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_29;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_29;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_2;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_2;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_2;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_3;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_3;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_3;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_4;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_4;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_4;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_5;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_5;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_5;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_6;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_6;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_6;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_7;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_7;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_7;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_8;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_8;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_8;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_function_9;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_function_9;1;@FACT_ID;1;5;smallint;5;2;0;0;2;null
FLC_RU;alexs;usp_class_function_9;1;@DEBUG_MESSAGES;1;-6;tinyint;3;1;0;0;2;null
FLC_RU;alexs;usp_class_member_group_v2;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;alexs;usp_class_member_group_v2;1;@SCHEME_ID;1;2;numeric;18;9;0;0;2;null
